District,Member,Party,Prior experience,Education,Assumed office,Residence,Born
California 22,Devin Nunes,Republican,California State Director for the United States Department of Agriculture's Rural Development Section,"College of the SequoiasCalifornia Polytechnic State University (BS, MS)",2003,Tulare,1973
California 23,Kevin McCarthy,Republican,California State Assembly,"California State University, Bakersfield (BS, MBA)",2007,Bakersfield,1965
California 24,Salud Carbajal,Democratic,"Santa Barbara County, California Board of Supervisors","University of California, Santa Barbara (BA)Fielding Graduate University (MA)",2017,Santa Barbara,1964
California 25,Mike Garcia,Republican,BusinessmanUnited States Navy,United States Naval Academy (BS)Georgetown University (MA),2020 (special),Santa Clarita,1976
California 26,Julia Brownley,Democratic,California State Assembly,George Washington University (BA)American University (MBA),2013,Oak Park,1952
California 27,Judy Chu,Democratic,"Mayor of Monterey Park, CaliforniaMonterey Park City CouncilCalifornia State AssemblyCalifornia State Board of Equalization","University of California, Los Angeles (BA)Alliant International University (MA, PhD)",2009 (special),Monterey Park,1953
California 28,Adam Schiff,Democratic,California State SenateAssistant Prosecutor for theUnited States Attorney for the Southern District of California,Stanford University (BA)Harvard University (JD),2001,Burbank,1960
California 29,Tony Cárdenas,Democratic,Los Angeles City Council,"University of California, Santa Barbara (BS)",2013,San Fernando Valley,1963
California 30,Brad Sherman,Democratic,California Board of Equalization,"University of California, Los Angeles (BA)Harvard University (JD)",1997,Sherman Oaks,1954
California 31,Pete Aguilar,Democratic,"Mayor of Redlands, California",University of Redlands (BS),2015,Redlands,1979
California 32,Grace Napolitano,Democratic,California State Assembly,Cerritos CollegeTexas Southmost College,1999,Norwalk,1936
California 33,Ted Lieu,Democratic,California State SenateCalifornia State Assembly,"Stanford University (BA, BS)Georgetown University (JD)",2015,Torrance,1969
California 34,Jimmy Gomez,Democratic,California State Assembly,"University of California, Los Angeles (BA)Harvard University (MPP)",2017 (special),Los Angeles,1974
California 35,Norma Torres,Democratic,"California State SenateCalifornia State AssemblyMayor of Pomona, California",National Labor College (BA),2015,Pomona,1965
California 36,Raul Ruiz,Democratic,Emergency physician,"University of California, Los Angeles (BS)Harvard University (MD, MPP, MPH)",2013,Palm Desert,1972
California 37,Karen Bass,Democratic,Speaker of the California State Assembly,"San Diego State UniversityCalifornia State University, Dominguez Hills (BS)",2011,Baldwin Hills,1953
California 38,Linda Sánchez,Democratic,Attorney,"University of California, Berkeley (BA)University of California, Los Angeles (JD)",2003,Orange,1969
California 39,Gil Cisneros,Democratic,Philanthropist,George Washington University (BA)Regis University (MBA)Brown University (MA),2019,Yorba Linda,1971
California 40,Lucille Roybal-Allard,Democratic,Public relations executive,"California State University, Los Angeles (BA)",1993,Downey,1941
California 41,Mark Takano,Democratic,Teacher,"Harvard University (BA)University of California, Riverside (MFA)",2013,Riverside,1960
California 42,Ken Calvert,Republican,Real estate executive,Chaffey CollegeSan Diego State University (BA),1993,Corona,1953
California 43,Maxine Waters,Democratic,California State Assembly,"California State University, Los Angeles (BA)",1991,Inglewood,1938
California 44,Nanette Barragán,Democratic,"Hermosa Beach, California City Council","University of California, Los Angeles (BA)University of Southern California (JD)",2017,San Pedro,1976
California 45,Katie Porter,Democratic,Attorneyprofessor,Yale University (BA)Harvard University (JD),2019,Irvine,1974
California 46,Lou Correa,Democratic,"California State SenateOrange County, California Board of SupervisorsCalifornia State Assembly","California State University, Fullerton (BA)University of California, Los Angeles (JD, MBA)",2017,Santa Ana,1958
California 47,Alan Lowenthal,Democratic,California State SenateCalifornia State Assembly,"Hobart College (BA)Ohio State University (MA, PhD)",2013,Long Beach,1941
California 48,Harley Rouda,Democratic,Lawyer,University of Kentucky (BA)Ohio State University (MBA)Capital University (JD),2019,Laguna Beach,1961
California 49,Mike Levin,Democratic,Environmental activist,Stanford University (BA)Duke University (JD),2019,San Juan Capistrano,1978
California 50,Vacant,,,,,,
California 51,Juan Vargas,Democratic,California State SenateCalifornia State AssemblySan Diego City Council,University of San Diego (BA)Fordham University (MA)Harvard University (JD),2013,Golden Hill,1961
California 52,Scott Peters,Democratic,San Diego City CouncilSan Diego Port Commission,Duke University (BA)New York University (JD),2013,La Jolla,1958
California 53,Susan Davis,Democratic,California State AssemblySan Diego School Board,"University of California, Berkeley (BA)University of North Carolina at Chapel Hill (MSW)",2001,San Diego,1944
Colorado 1,Diana DeGette,Democratic,Colorado House of Representatives,Colorado College (BA)New York University (JD),1997,Denver,1957
Colorado 2,Joe Neguse,Democratic,Executive Director of the Colorado Department of Regulatory Agencies Regents of the University of Colorado,"University of Colorado, Boulder (BA, JD)",2019,Boulder,1984
Colorado 3,Scott Tipton,Republican,Colorado House of Representatives,Fort Lewis College (BA),2011,Cortez,1956
Colorado 4,Ken Buck,Republican,"Weld County, ColoradoProsecutor U.S. Attorney's Office",Princeton University (BA)University of Wyoming (JD),2015,Greeley,1959
Colorado 5,Doug Lamborn,Republican,President pro tempore of the Colorado SenateColorado House of Representatives,"University of Kansas (BS, JD)",2007,Colorado Springs,1954
Colorado 6,Jason Crow,Democratic,Attorney,"University of Wisconsin, Madison (BA)University of Denver (JD)",2019,Aurora,1979
Colorado 7,Ed Perlmutter,Democratic,Colorado Senate,"University of Colorado Boulder (BA, JD)",2007,Lakewood,1953
Connecticut 1,John B. Larson,Democratic,"Connecticut SenateEast Hartford, Connecticut City CouncilEast Hartford, Connecticut Board of Education",Central Connecticut State University (BA),1999,East Hartford,1948
Connecticut 2,Joe Courtney,Democratic,Connecticut House of Representatives,Tufts University (BA)University of Connecticut (JD),2007,Vernon,1953
Connecticut 3,Rosa DeLauro,Democratic,Executive Director of EMILY's ListPolitical aide,"Marymount College, Tarrytown (BA)London School of Economics(MA)Columbia University (MA)",1991,New Haven,1943
Connecticut 4,Jim Himes,Democratic,"Financial executiveGreenwich, Connecticut Housing Authority Board","Harvard University (BA)St Edmund Hall, Oxford (MPhil)",2009,Cos Cob,1966
Connecticut 5,Jahana Hayes,Democratic,Teacher,Naugatuck Valley Community CollegeSouthern Connecticut State University (BA)University of Saint Joseph (MA)University of Bridgeport (SYC),2019,Wolcott,1973
Delaware at-large,Lisa Blunt Rochester,Democratic,"Delaware Labor Secretary, Delaware Personnel Director",Fairleigh Dickinson University(BA)University of Delaware (MA),2017,Wilmington,1962
Florida 1,Matt Gaetz,Republican,Florida House of Representatives,Florida State University (BS)College of William & Mary (JD),2017,Fort Walton Beach,1982
Florida 2,Neal Dunn,Republican,Surgeon,Washington and Lee University (BS)George Washington University (MD),2017,Panama City,1953
Florida 3,Ted Yoho,Republican,Veterinarian,"Broward CollegeUniversity of Florida (BS, DVM)",2013,Gainesville,1955
Florida 4,John Rutherford,Republican,Sheriff of Jacksonville,Florida State CollegeFlorida State University (BS),2017,Jacksonville,1952
Florida 5,Al Lawson,Democratic,Florida Senate,Florida A&M University (BA)Florida State University (MPA),2017,Tallahassee,1948
Florida 6,Michael Waltz,Republican,U.S. ArmyIntelligence analyst,Virginia Military Institute (BS),2019,Daytona Beach,1974
Florida 7,Stephanie Murphy,Democratic,Advisoreducator,College of William & Mary (BA)Georgetown University (MS),2017,Winter Park,1978
Florida 8,Bill Posey,Republican,"Florida SenateFlorida House of RepresentativesRockledge, Florida City Council",Eastern Florida State College,2009,Rockledge,1947
Florida 9,Darren Soto,Democratic,Florida SenateFlorida House of Representatives,Rutgers University–New Brunswick (BA)George Washington University (JD),2017,Orlando,1978
Florida 10,Val Demings,Democratic,Chief of the Orlando Police Department,Florida State University (BS),2017,Orlando,1957
Florida 11,Daniel Webster,Republican,Florida SenateSpeaker of Florida House of Representatives,Georgia Institute of Technology (BS),2011,Winter Garden,1949
Florida 12,Gus Bilirakis,Republican,Florida House of Representatives,St. Petersburg CollegeUniversity of Florida (BA)Stetson University (JD),2007,Palm Harbor,1963
Florida 13,Charlie Crist,Democratic,Governor of FloridaAttorney General of FloridaEducation Commissioner of FloridaFlorida Senate,Wake Forest UniversityFlorida State University (BA)Samford University (JD),2017,St. Petersburg,1956
Florida 14,Kathy Castor,Democratic,"Assistant General Counsel to the Florida Department of Community AffairsPresident of the Florida Association of Women LawyersHillsborough County, Florida Board of Commissioners",Emory University (BA)Florida State University (JD),2007,Tampa,1966
Florida 15,Ross Spano,Republican,Florida House of Representatives,University of South Florida (BA)Florida State University (JD),2019,Dover,1966
Florida 16,Vern Buchanan,Republican,Auto dealer,Cleary University (BA)University of Detroit Mercy (MBA),2007,Longboat Key,1951
Florida 17,Greg Steube,Republican,Florida SenateFlorida House of Representatives,"University of Florida (BS, JD)",2019,Sarasota,1978
Florida 18,Brian Mast,Republican,U.S. Army Soldier,Palm Beach Atlantic UniversityAmerican Military UniversityHarvard University (BLA),2017,Hutchinson Island,1980
Florida 19,Francis Rooney,Republican,United States Ambassador to the Holy See,"Georgetown University (BA, JD)",2017,Naples,1953
Florida 20,Alcee Hastings,Democratic,Judge of the United States District Court for the Southern District of Florida,Howard UniversityFisk University (BA)Florida A&M University (JD),1993,Miramar,1936
Florida 21,Lois Frankel,Democratic,"Mayor of West Palm Beach, FloridaFlorida House of Representatives",Boston University (BA)Georgetown University (JD),2013,West Palm Beach,1948
Florida 22,Ted Deutch,Democratic,Florida Senate,"University of Michigan (BA, JD)",2010 (special),Boca Raton,1966
Florida 23,Debbie Wasserman Schultz,Democratic,Florida SenateFlorida House of RepresentativesDemocratic National Committee Chair,"University of Florida (BA, MA)",2005,Weston,1966
Florida 24,Frederica Wilson,Democratic,Florida SenateFlorida House of RepresentativesMiami-Dade County Public Schools Board,Fisk University (BA)University of Miami (MA),2011,Miami Gardens,1942
Florida 25,Mario Díaz-Balart,Republican,Florida SenateFlorida House of Representatives,University of South Florida (BA),2003,Miami,1961
Florida 26,Debbie Mucarsel-Powell,Democratic,College administrator,Pitzer College (BA)Claremont Graduate University (MA),2019,Miami,1971
Florida 27,Donna Shalala,Democratic,"President of the Clinton FoundationPresident of the University of MiamiUnited States Secretary of Health and Human ServicesChancellor of the University of Wisconsin, Madison","Western College for Women (BA)Syracuse University (MA, PhD)",2019,Coral Gables,1941
Georgia 1,Buddy Carter,Republican,"Georgia State SenateGeorgia House of RepresentativesMayor of Pooler, Georgia",Young Harris CollegeUniversity of Georgia (BS),2015,Pooler,1957
Georgia 2,Sanford Bishop,Democratic,Georgia State SenateGeorgia House of Representatives,Morehouse College (BA)Emory University (JD),1993,Albany,1947
Georgia 3,Drew Ferguson,Republican,"Mayor of West Point, Georgia",University of Georgia (BS)Augusta University (DMD),2017,West Point,1966
Georgia 4,Hank Johnson,Democratic,"DeKalb County, Georgia CommissionerAssociate Magistrate Judge",Clark Atlanta University (BA)Texas Southern University (JD),2007,Lithonia,1954
Georgia 5,Vacant,,,,,,
Georgia 6,Lucy McBath,Democratic,Activist,Virginia State University (BA),2019,Marietta,1960
Georgia 7,Rob Woodall,Republican,Political aideAttorney,Furman University (BA)University of Georgia (JD),2011,Peachtree Corners,1970
Georgia 8,Austin Scott,Republican,Georgia House of Representatives,University of Georgia (BA),2011,Tifton,1969
Georgia 9,Doug Collins,Republican,Georgia House of Representatives,University of North Georgia (BA)New Orleans Baptist Theological Seminary (MDiv)Atlanta's John Marshall Law School (JD),2013,Gainesville,1966
Georgia 10,Jody Hice,Republican,Radio show hostSouthern Baptist pastor,Asbury University (BA)Southwestern Baptist Theological Seminary (MDiv)Luther Rice College and Seminary (DMin),2015,Bethlehem,1960
Georgia 11,Barry Loudermilk,Republican,Georgia State SenateGeorgia House of Representatives,Air UniversityWayland Baptist University (BS),2015,Cassville,1963
Georgia 12,Rick W. Allen,Republican,Businessman,Auburn University (BS),2015,Augusta,1951
Georgia 13,David Scott,Democratic,Georgia State SenateGeorgia House of Representatives,Florida A&M University (BA)University of Pennsylvania (MBA),2003,Atlanta,1945
Georgia 14,Tom Graves,Republican,"Georgia House of Representatives,",University of Georgia (BA),2010 (special),Ranger,1970
Hawaii 1,Ed Case,Democratic,"U.S. House, Hawaii House of Representatives","Williams College (BA)University of California, Hastings (JD)",2019,Kaneohe,1952
Hawaii 2,Tulsi Gabbard,Democratic,Honolulu City CouncilHawaii House of Representatives,Hawaii Pacific University (BS),2013,Honolulu,1981
Idaho 1,Russ Fulcher,Republican,Idaho Senate,"Boise State University (BA, MBA)",2019,Meridian,1962
Idaho 2,Mike Simpson,Republican,"Idaho House of RepresentativesBlackfoot, Idaho City Council",Utah State University (BS)Washington University in St. Louis (DMD),1999,Idaho Falls,1950
Illinois 1,Bobby Rush,Democratic,Chicago City Council,Roosevelt University (BGS)University of Illinois at Chicago (MA)McCormick Theological Seminary (MA),1993,Englewood,1946
Illinois 2,Robin Kelly,Democratic,Illinois House of RepresentativesChief of Staff to the Illinois TreasurerChief Administrative Officer to the Cook County President,"Bradley University (BA, MA)Northern Illinois University (PhD)",2013 (special),Matteson,1956
Illinois 3,Dan Lipinski,Democratic,Member of the University of Notre Dame and University of Tennessee Faculty,Northwestern University (BS)Stanford University (MS)Duke University (PhD),2005,Western Springs,1966
Illinois 4,"Jesús ""Chuy"" García",Democratic,Cook County Board of CommissionersIllinois SenateChicago City Council,"University of Illinois, Chicago (BA, MUP)",2019,Chicago,1956
Illinois 5,Mike Quigley,Democratic,Cook County Board of Commissioners,Roosevelt University (BA)University of Chicago (MPP)Loyola University Chicago (JD),2009 (special),"Lincoln Park, Chicago",1958
Illinois 6,Sean Casten,Democratic,Entrepreneur,"Middlebury College (BA)Dartmouth College (MSEM, MS)",2019,Downers Grove,1971
Illinois 7,Danny K. Davis,Democratic,Chicago City CouncilCook County Board of Commissioners,University of Arkansas at Pine Bluff (BA)Chicago State University (MS)Union Institute & University (PhD),1997,"Austin, Chicago",1941
Illinois 8,Raja Krishnamoorthi,Democratic,Public Servantlawyer,Princeton University (BS)Harvard University (JD),2017,Schaumburg,1973
Illinois 9,Jan Schakowsky,Democratic,Illinois House of Representatives,University of Illinois at Urbana–Champaign (BS),1999,Evanston,1944
Illinois 10,Brad Schneider,Democratic,"U.S. Representative for Illinois 10, management consultant","Northwestern University (BS, MBA)",2017,Deerfield,1961
Illinois 11,Bill Foster,Democratic,"U.S. House, research physicist, businessman","University of Wisconsin–Madison (BS)Harvard University (MS, PhD)",2013,Naperville,1955
Illinois 12,Mike Bost,Republican,Illinois House of RepresentativesFirefighter,–,2015,Murphysboro,1960
Illinois 13,Rodney Davis,Republican,Congressional staffer,Millikin University (BA),2013,Taylorville,1970
Illinois 14,Lauren Underwood,Democratic,Registered nurse,"University of Michigan (BSN)Johns Hopkins University (MSN, MPH)",2019,Naperville,1986
Illinois 15,John Shimkus,Republican,"Madison County, Illinois Treasurer",United States Military Academy (BS)Southern Illinois University Edwardsville (MBA),1997,Collinsville,1958
Illinois 16,Adam Kinzinger,Republican,"McLean County, Illinois Board of Commissioners, Air Force pilot",Illinois State University (BA),2011,Rockford,1978
Illinois 17,Cheri Bustos,Democratic,"East Moline, Illinois City Council, healthcare executive, journalist","University of Maryland, College Park (BA)University of Illinois, Springfield (MA)",2013,East Moline,1961
Illinois 18,Darin LaHood,Republican,"Illinois SenateProsecutor U.S. Attorney's OfficeDeputy Prosecutor Tazewell County, Illinois","Loras College (BA)John Marshall Law School, Chicago (JD)",2015 (special),Dunlap,1968
Indiana 1,Pete Visclosky,Democratic,AttorneyCongressional aide,Indiana University Northwest (BA)University of Notre Dame (JD)Georgetown University (LLM),1985,Merrillville,1949
Indiana 2,Jackie Walorski,Republican,Indiana House of Representatives,Liberty UniversityTaylor University (BA),2013,Jimtown,1963
Indiana 3,Jim Banks,Republican,Indiana Senate,Indiana University Bloomington (BA)Grace College & Seminary (MBA),2017,Columbia City,1979
Indiana 4,Jim Baird,Republican,"Indiana House of RepresentativesPutnam County, Indiana Commission","Purdue University, West Lafayette (BS, MS)University of Kentucky (PhD)",2019,Greencastle,1945
Indiana 5,Susan Brooks,Republican,U.S. Attorney for Southern IndianaDeputy Mayor of Indianapolis,"Miami University (BA)Indiana University, Indianapolis (JD)",2013,Carmel,1960
Indiana 6,Greg Pence,Republican,Businessman,"Loyola University Chicago (BA, MBA)",2019,Edinburgh,1956
Indiana 7,André Carson,Democratic,Indianapolis City-County Council,Concordia University Wisconsin (BA)Indiana Wesleyan University (MS),2008 (special),"Center Township, Marion County",1974
Indiana 8,Larry Bucshon,Republican,Heart Surgeon,University of Illinois at Urbana–Champaign (BS)University of Illinois at Chicago (MD),2011,Newburgh,1962
Indiana 9,Trey Hollingsworth,Republican,CEO of Hollingsworth Capital Partners,University of Pennsylvania (BS)Georgetown University (MPP),2017,Jeffersonville,1983
Iowa 1,Abby Finkenauer,Democratic,Iowa House of Representatives,Drake University (BA),2019,Dubuque,1988
Iowa 2,Dave Loebsack,Democratic,Professor,"Iowa State University (BA, MA)University of California, Davis (PhD)",2007,Iowa City,1952
Iowa 3,Cindy Axne,Democratic,Businesswoman,University of Iowa (BA)Northwestern University (MBA),2019,West Des Moines,1965
Iowa 4,Steve King,Republican,Iowa Senate,Northwest Missouri State University,2003,Kiron,1949
Kansas 1,Roger Marshall,Republican,Obstetrician,Kansas State University (BS)University of Kansas (MD),2017,Great Bend,1960
Kansas 2,Steve Watkins,Republican,Military contractorVeteran,United States Military Academy (BS),2019,Topeka,1976
Kansas 3,Sharice Davids,Democratic,AttorneyMixed martial artist,Haskell Indian Nations UniversityUniversity of KansasJohnson County Community CollegeUniversity of Missouri–Kansas City (BA)Cornell University (JD),2019,Shawnee,1980
Kansas 4,Ron Estes,Republican,Kansas State Treasurer,"Tennessee Technological University (BS, MBA)",2017 (special),Wichita,1956
Kentucky 1,James Comer,Republican,Kentucky House of RepresentativesAgriculture Commissioner of Kentucky,Western Kentucky University (BS),2016 (special),Tompkinsville,1972
Kentucky 2,Brett Guthrie,Republican,Kentucky Senate,United States Military Academy (BS)Yale University (MBA),2009,Bowling Green,1964
Kentucky 3,John Yarmuth,Democratic,"Newspaper publisherVice-President for University Relations, University of Louisville",Yale University (BA)Georgetown University,2007,Louisville,1947
Kentucky 4,Thomas Massie,Republican,"Judge-Executive of Lewis County, Kentucky","Massachusetts Institute of Technology (BS, MS)",2012 (special),Garrison,1971
Kentucky 5,Hal Rogers,Republican,"Commonwealth's Attorney for Pulaski County, Kentucky and Rockcastle County, Kentucky",Western Kentucky University (BA)University of Kentucky (LLB),1981,Mount Vernon,1937
Kentucky 6,Andy Barr,Republican,Attorney,University of Virginia (BA)University of Kentucky (JD),2013,Lexington,1973
Louisiana 1,Steve Scalise,Republican,Louisiana State SenateLouisiana House of Representatives,Louisiana State University (BS),2008 (special),Jefferson,1965
Louisiana 2,Cedric Richmond,Democratic,Louisiana House of Representatives,Morehouse College (BA)Tulane University (JD),2011,New Orleans,1973
Louisiana 3,Clay Higgins,Republican,"Reserve Deputy Marshal of Lafayette, Louisiana",Louisiana State University,2017,Port Barre,1961
Louisiana 4,Mike Johnson,Republican,Louisiana House of Representatives,"Louisiana State University (BA, JD)",2017,Benton,1972
Louisiana 5,Ralph Abraham,Republican,Physician,"Louisiana State University (BS, DVM)LSU New Orleans (MD)",2015,Mangham,1954
Louisiana 6,Garret Graves,Republican,Louisiana Coastal Protection and Restoration Authority,University of AlabamaLouisiana Tech UniversityAmerican University,2015,Baton Rouge,1972
Maine 1,Chellie Pingree,Democratic,"Maine State SenatePresident, Common Cause",University of Southern MaineCollege of the Atlantic (BS),2009,North Haven,1955
Maine 2,Jared Golden,Democratic,Maine House of Representatives,"University of Maine, FarmingtonBates College (BA)",2019,Lewiston,1982
Maryland 1,Andy Harris,Republican,Maryland State SenateAnesthesiologist,"Johns Hopkins University (BS, MD, MHS)",2011,Cockeysville,1957
Maryland 2,Dutch Ruppersberger,Democratic,Baltimore County ExecutiveChief of the Office of Investigative Division for Maryland's Department of JusticeBaltimore County Assistant State's Attorney,"Baltimore City CollegeUniversity of Maryland, College Park (BA)University of Baltimore (JD)",2003,Baltimore,1946
Maryland 3,John Sarbanes,Democratic,AttorneyLaw clerk,Princeton University (BA)Harvard University (JD),2007,Towson,1962
Maryland 4,Anthony G. Brown,Democratic,Lieutenant Governor of MarylandMaryland House of Delegates,"Harvard University (BA, JD)",2017,Lanham,1961
Maryland 5,Steny Hoyer,Democratic,President of the Maryland State SenateMaryland Board of Higher Education,"University of Maryland, College Park (BA)Georgetown University (JD)",1981 (special),Mechanicsville,1939
Maryland 6,David Trone,Democratic,Businessman,Furman University (BA)University of Pennsylvania (MBA),2019,Potomac,1955
Maryland 7,Kweisi Mfume,Democratic,Baltimore City Council U.S. House President of the NAACP,Baltimore City Community CollegeMorgan State University (BA)Johns Hopkins University (MA),2020 (special),Baltimore,1948
Maryland 8,Jamie Raskin,Democratic,Maryland State Senate Majority Whip,"Harvard University (BA, JD)",2017,Takoma Park,1962
Massachusetts 1,Richard Neal,Democratic,"Mayor of Springfield, Massachusetts",Holyoke Community CollegeAmerican International College (BA)University of Hartford (MA),1989,Springfield,1949
Massachusetts 2,Jim McGovern,Democratic,Congressional staff member,"American University (BA, MPA)",1997,Worcester,1959
Massachusetts 3,Lori Trahan,Democratic,"Businesswoman, Chief of Staff to Rep. Marty Meehan",Georgetown University (BA),2019,Westford,1973
Massachusetts 4,Joe Kennedy III,Democratic,ProsecutorAssistant district attorney,Stanford University (BA)Harvard University (JD),2013,Brookline,1980
Massachusetts 5,Katherine Clark,Democratic,Massachusetts SenateMassachusetts House of RepresentativesAttorney,St. Lawrence University (BA)Cornell University (JD)Harvard University (MPA),2013 (special),Melrose,1963
